iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
CHN,manufacturing,other-metals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,9119757.4642466,,annual,,
CHN,manufacturing,other-metals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,9031799.665929409,,annual,,
CHN,manufacturing,other-metals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,9061657.719303263,,annual,,
CHN,manufacturing,other-metals,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,9061657.719303263,,annual,,
CHN,manufacturing,other-metals,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,753090.5937942077,,annual,,
CHN,manufacturing,petrochemical-steam-cracking,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,40896382.1300756,,annual,,
CHN,manufacturing,petrochemical-steam-cracking,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,42482530.160078526,,annual,,
CHN,manufacturing,petrochemical-steam-cracking,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,43453300.46008032,,annual,,
CHN,manufacturing,petrochemical-steam-cracking,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,44404989.28008208,,annual,,
CHN,manufacturing,petrochemical-steam-cracking,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,48276242.61327071,,annual,,
CHN,manufacturing,petrochemical-steam-cracking,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,50440076.371987335,,annual,,
CHN,manufacturing,petrochemical-steam-cracking,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,65035271.9530573,,annual,,
CHN,manufacturing,petrochemical-steam-cracking,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,66144964.15097164,,annual,,
CHN,manufacturing,petrochemical-steam-cracking,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,72786867.85791191,,annual,,
CHN,manufacturing,petrochemical-steam-cracking,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,72786867.85791191,,annual,,
CHN,manufacturing,petrochemical-steam-cracking,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,6065572.321492661,,annual,,
CHN,manufacturing,pulp-and-paper,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,5829870.781058158,,annual,,
CHN,manufacturing,pulp-and-paper,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,6056460.781060432,,annual,,
CHN,manufacturing,pulp-and-paper,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,6315005.781063024,,annual,,
CHN,manufacturing,pulp-and-paper,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,6880318.781068664,,annual,,
CHN,manufacturing,pulp-and-paper,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,7582166.78107565,,annual,,
CHN,manufacturing,pulp-and-paper,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,8891740.781088723,,annual,,
CHN,manufacturing,pulp-and-paper,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,10726538.780999985,,annual,,
CHN,manufacturing,pulp-and-paper,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,12503236.780999985,,annual,,
CHN,manufacturing,pulp-and-paper,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,12503236.780999985,,annual,,
CHN,manufacturing,pulp-and-paper,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,12503236.780999985,,annual,,
CHN,manufacturing,pulp-and-paper,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,1061918.7403041082,,annual,,
CHN,manufacturing,textiles-leather-apparel,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,41358988.47022511,,annual,,
CHN,manufacturing,textiles-leather-apparel,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,36850466.016561314,,annual,,
